route,android_key,strict_status,functionality_score,features_score,uiux_score,notes,web_screenshot
"/login","login","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","01_login.png"
"/signup","signup","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","02_signup.png"
"/invite/:code","invite","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","03_invite_code.png"
"/forgot-password","forgot_password","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","04_forgot-password.png"
"/reset-password","reset_password","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","05_reset-password.png"
"/reset-password/:token","reset_password","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","06_reset-password_token.png"
"/","category_hub","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","07_root.png"
"/all-posts","all_posts","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","08_all-posts.png"
"/listings","all_posts","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","09_listings.png"
"/post/:id","post_detail","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","10_post_id.png"
"/listing/:id","post_detail","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","11_listing_id.png"
"/dashboard","dashboard","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","12_dashboard.png"
"/activity","activity","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","13_activity.png"
"/profile","profile","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","14_profile.png"
"/security","security","Partial Match",5,4,4,"Closest Android flow exists but does not reproduce full web route behavior or layout.","15_security.png"
"/account/delete","account_delete","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","16_account_delete.png"
"/add-post","add_post","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","17_add-post.png"
"/post-welcome","post_welcome","Partial Match",5,4,4,"Closest Android flow exists but does not reproduce full web route behavior or layout.","18_post-welcome.png"
"/sell","add_post","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","19_sell.png"
"/category-hub","category_hub","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","20_category-hub.png"
"/edit-post/:postId","edit_post","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","21_edit-post_postId.png"
"/tier-selection","tiers","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","22_tier-selection.png"
"/tiers","tiers","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","23_tiers.png"
